"period","date","ssta","year","month"
1,1980-08-27,0.2,1980,8
2,1981-04-25,-0.3,1981,4
3,1981-10-24,-0.1,1981,10
4,1982-04-29,0.5,1982,4
5,1982-10-18,1.9,1982,10
6,1983-05-01,1,1983,5
7,1983-09-15,-0.3,1983,9
8,1984-02-19,-0.3,1984,2
9,1984-10-03,-0.6,1984,10
10,1985-04-24,-0.7,1985,4
11,1985-09-05,-0.4,1985,9
12,1986-04-18,-0.2,1986,4
13,1986-10-05,0.9,1986,10
14,1987-04-24,1,1987,4
15,1987-10-07,1.4,1987,10
16,1988-04-26,-0.3,1988,4
17,1988-10-09,-1.4,1988,10
18,1989-04-18,-0.9,1989,4
19,1989-11-10,-0.2,1989,11
20,NA,NA,NA,NA
21,1990-10-20,0.3,1990,10
22,1991-04-18,0.2,1991,4
23,1991-10-08,0.8,1991,10
24,1992-04-09,1.2,1992,4
25,1992-10-06,-0.1,1992,10
26,1993-04-17,0.7,1993,4
27,1993-10-20,0.2,1993,10
28,1994-04-15,0.3,1994,4
29,1994-10-07,0.6,1994,10
30,1995-04-11,0.3,1995,4
31,1995-10-03,-0.9,1995,10
32,1996-04-25,-0.4,1996,4
33,1996-10-03,-0.4,1996,10
34,1997-04-15,0.1,1997,4
35,1997-10-16,2.2,1997,10
36,1998-04-26,1,1998,4
37,1998-10-17,-1.2,1998,10
38,1999-04-24,-0.9,1999,4
39,1999-10-07,-1.2,1999,10
40,2000-05-02,-0.7,2000,5
41,2000-10-25,-0.7,2000,10
42,2001-05-05,-0.2,2001,5
43,2001-10-15,-0.2,2001,10
44,2002-04-29,0.2,2002,4
45,2002-10-09,1.2,2002,10
46,2003-05-02,-0.2,2003,5
47,2003-10-15,0.4,2003,10
48,NA,NA,NA,NA
49,2004-10-25,0.7,2004,10
50,2005-05-09,0.4,2005,5
51,2005-10-17,-0.1,2005,10
52,2006-04-21,-0.2,2006,4
53,2006-10-16,0.8,2006,10
54,2007-04-30,-0.1,2007,4
55,2007-11-02,-1.2,2007,11
56,2008-05-19,-0.7,2008,5
57,2008-10-20,-0.3,2008,10
58,NA,NA,NA,NA
59,NA,NA,NA,NA
60,2010-06-29,-0.4,2010,6
61,2010-12-13,-1.4,2010,12
62,NA,NA,NA,NA
63,2011-10-22,-0.9,2011,10
